,created_at,id,id_str,full_text,NER-Words,NER-Tags,rfind,Displaced People and Evacuations,Not Related information,displacement_term,Reporting_unit,Figure,tbr,Unnamed: 11,trigger,term_unit,conflict,attack,battl,clash,cyclon,destroyed h,earthquak,flood,hurrican,landslid,storm,tsunami,typhoon,wildfir,fire,violenc,fight,destroy,famili,homeless,household,peopl,person,shelter,displac,evacu,arriv,asylum seek,build,citizen,collaps,cross,damag,dwell,enter,evict,flee,forc,home,hous,hut,individu,inhabit,migrant,refuge,relief camp,reloc,resid,villag,civilian,idp,evacue
16,Sat Aug 29 07:22:30 +0000 2020,1.30E+18,1.30E+18,The toll of climate change related migration has on displaced population and its mental health is often underestimated. And to a lesser extent (though still significantly) on host countries.,"[""climate"", ""change"", ""displaced"", ""population""]","[""B-trig"", ""I-trig"", ""B-term"", ""B-unit""]",FALSE,1,1,,,,,,[],['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Sat Aug 29 03:07:10 +0000 2020,1.30E+18,1.30E+18,"At this point, people who believe in climate change believe in it. People who don’t, don’t. Spread awareness about the people working to combat it, the ways we can fight back. Catastrophizing, especially after a hurricane has displaced thousands, doesnt help in my opinion","[""climate"", ""change"", ""hurricane"", ""displaced"", ""thousands""]","[""B-trig"", ""I-trig"", ""B-trig"", ""B-term"", ""B-fig""]",FALSE,1,1,,,,,,"['fight', 'hurrican']","['peopl', 'peopl', 'peopl', 'displac']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Sat Aug 29 02:53:25 +0000 2020,1.30E+18,1.30E+18,"FIRES ARE STILL BURNING. PEOPLE ARE STILL DISPLACED. PEOPLE ARE STILL LOSING THEIR HOMES. PEOPLE ARE STILL RISKING THEIR LIVES TO FIGHT FIRES. CLIMATE CHANGE IS REAL. I will keep reporting on these fires until they are contained. #WalbridgeFIre

2/22","[""FIRES"", ""PEOPLE"", ""DISPLACED"", ""CLIMATE"", ""CHANGE""]","[""B-trig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,"['fire', 'fight', 'fire', 'fire']","['peopl', 'displac', 'peopl', 'home', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sat Aug 29 02:38:28 +0000 2020,1.30E+18,1.30E+18,"#CALIFORNIAFIRES ARE STILL BURNING. PEOPLE ARE STILL DISPLACED. PEOPLE ARE STILL LOSING THEIR HOMES. PEOPLE ARE STILL RISKING THEIR LIVES TO FIGHT FIRES. CLIMATE CHANGE IS REAL. I will keep reporting on these fires until they are contained.

2/20","[""FIRES"", ""PEOPLE"", ""DISPLACED"", ""CLIMATE"", ""CHANGE""]","[""B-trig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,"['fight', 'fire', 'fire']","['peopl', 'displac', 'peopl', 'home', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Fri Aug 28 22:47:02 +0000 2020,1.30E+18,1.30E+18,"Just in this past week, wildfires in California and Hurricane Laura in Louisiana have displaced Americans - and severe events like these are on the rise in a changing climate. Our Global Shifts Colloquium next month will explore this critical issue &amp; more: https://t.co/TToiZTr1nk https://t.co/C6YtUJ1T7h","[""past"", ""week"", ""wildfires"", ""Hurricane"",""displaced"", ""Americans""]","[""B-time"", ""I-time"", ""B-trig"", ""B-trig"", ""B-term"", ""B-unit""]",FALSE,1,1,,,,,,"['wildfir', 'hurrican']",['displac'],0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Fri Aug 28 20:20:00 +0000 2020,1.30E+18,1.30E+18,"45 dead, 225,000 displaced by flooding in climate-sensitive Niger https://t.co/SBLYNqV6O3","[""225,000"", ""displaced"", ""flooding""]","[""B-fig"", ""B-term"", ""B-trig""]",FALSE,1,0,displaced,,"225,000",,,['flood'],['displac'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Fri Aug 28 18:50:20 +0000 2020,1.30E+18,1.30E+18,"""we're in a political climate where trans people are being lynched by domestic terrorists and displaced by state violence"" —There no point trying to reason with a person who believes this. They don't even live in the same reality as you do. There is no common ground.","[""trans"", ""people"", ""displaced"", ""violence""]","[""B-unit"", ""I-unit"", ""B-term"", ""B-trig""] ",FALSE,1,1,,,,,,['violenc'],"['peopl', 'displac', 'person']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fri Aug 28 17:55:05 +0000 2020,1.30E+18,1.30E+18,"Vote for someone whose house doesn't have clean water, or someone suffering from polluting industries that Trump has removed regulations on. Vote for someone displaced from their home because of climate change.","[""displaced"", ""climate"", ""change""]","[""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,[],"['hous', 'displac', 'home']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Fri Aug 28 16:59:00 +0000 2020,1.30E+18,1.30E+18,What happens when someone gets sick and can’t afford to go a doctor because they are uninsured in Joe Bidens America? What happens when millions of Americans are displaced because of unending natural disasters caused by Climate Change in Joe Bidens America?,"[""millions"", ""Americans"", ""displaced"", ""natural"" , ""disasters"", ""Climate"", ""Change""]","[""B-fig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,[],['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Fri Aug 28 16:30:41 +0000 2020,1.30E+18,1.30E+18,@Christinefor24 Astonishing to me that climate change always ends up last on these lists. We can't do any of the other things after human civilization collapses and a billion people are dead or displaced.,"[""climate"", ""change"", ""billion"", ""people"", ""displaced""]","[""B-trig"", ""I-trig"", ""B-fig"", ""B-unit"", ""B-term""]",FALSE,1,1,,,,,,[],"['collaps', 'peopl', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Fri Aug 28 16:24:09 +0000 2020,1.30E+18,1.30E+18,"@MargaretAtwood Climate enhanced flooding is affecting millions.  The lack of coverage is systemic racism.

Aug 27 EWE: Kenya and Uganda – Thousands Displaced by Lake Floods.  https://t.co/mkT9vBmuCr","[""Thousands"", ""Displaced"", ""Floods""]","[""B-fig"", ""B-term"", ""B-trig""]",FALSE,1,0,displaced,,Thousands,,,"['flood', 'flood']",['displac'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Fri Aug 28 15:00:33 +0000 2020,1.30E+18,1.30E+18,"Did you know that only 4% of World Energy Council Chairs are held by women (Environment &amp; Gender Index) yet 80% of people displaced by climate change are women?

Join us for a panel discussion on 9 Sep exploring the links between gender &amp; climate change https://t.co/2SRuohCStk https://t.co/kDCJDnu3qC",[],[],FALSE,1,1,,,,,,[],"['peopl', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Fri Aug 28 14:52:55 +0000 2020,1.30E+18,1.30E+18,Climate change is real ya’ll. Death and mass migrations. Guess where all those displaced people are moving. Our neighborhoods. The GOP had you looking at POC when it’s white people and POC who are forced to move the most in America.  https://t.co/oZFRNixqE3,[],[],FALSE,1,1,,,,,,[],"['displac', 'peopl', 'peopl', 'forc']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Fri Aug 28 14:09:01 +0000 2020,1.30E+18,1.30E+18,"Plagues
fires
hurricanes

civil unrest
Climate change

Asteroid threats
ICE abuses
budget cuts are really mean

Kids in cages
Millions displaced
Blatant Police brutality 

Ugly white supremacy 
Guns in schools 
gaslighting 

daylight lynchings of Black Men
Russian fn treason","[""Plagues"", ""fires"", ""hurricanes"", ""Climate"", ""change"", ""Millions"", ""displaced""]","[""B-trig"", ""B-trig"", ""B-trig"", ""B-trig"", ""I-trig"", ""B-fig"", ""B-term""] ",FALSE,1,1,,,,,,"['fire', 'hurrican']",['displac'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Fri Aug 28 14:00:23 +0000 2020,1.30E+18,1.30E+18,"15 years ago today, one million people in the Gulf region were displaced by Hurricane Katrina. 1,833 lives were lost, with 40 percent due to drowning. That day made painfully clear our reality: the climate crisis is on our doorstep. 1/4","[ ""15"", ""years"", ""ago"", ""million"", ""people"", ""displaced"", ""Hurricane""]","[""B-time"", ""I-time"", ""I-time"", ""B-fig"", ""B-unit"", ""B-term"", ""B-trig"" ]",FALSE,1,0,displaced,people,one million,,,['hurrican'],"['peopl', 'displac']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Fri Aug 28 12:00:30 +0000 2020,1.30E+18,1.30E+18,what is climate gentrification? &gt;&gt; what it means to be displaced by climate change and why cities must invest in long-term housing affordability—and a self-sustaining future—for their low-income communities and communities of color // https://t.co/Ee3eQnIb5L,"[""displaced"", ""climate"", ""change""]","[""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,[],"['displac', 'hous']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Fri Aug 28 11:29:29 +0000 2020,1.30E+18,1.30E+18,"An unprecedented 79,5 million people 
have been forcibly displaced worldwide, 
and 37,000 people are forced to flee their homes every day due to conflict or persecution

Over 820 million people suffering from hunger

Loss of biodiversity
is just as catastrophic as climate change https://t.co/5Z0JxAS9QX https://t.co/08W8N62zm9","[""79,5"", ""million"", ""people"", ""displaced"", ""climate"", ""change""]","[""B-fig"", ""I-fig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,0,displaced,people,"79,5 million",,,['conflict'],"['peopl', 'displac', 'peopl', 'forc', 'flee', 'home', 'peopl']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Fri Aug 28 02:42:02 +0000 2020,1.30E+18,1.30E+18,"2078, post-glacial Anthropocene. Antarctica. Wasteland communal society run entirely by climate refugees/displaced Indigenous people from the now Southern Atlantic, Pacific and Indian Oceans. Their first greenhouses are functioning smoothly",[],[],FALSE,1,1,,,,,,[],['peopl'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Fri Aug 28 01:57:29 +0000 2020,1.30E+18,1.30E+18,@plntbasedcutie @christeenir_ For everyone saying pandemics and climate change aren’t correlated: animals like bats who carry viruses are displaced from their natural environments due to deforestation and are forced to live in closer contact with us,[],[],FALSE,1,1,,,,,,[],"['displac', 'forc']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Fri Aug 28 01:15:05 +0000 2020,1.30E+18,1.30E+18,"By 2050, 150 million people will be displaced by coastal flooding, St. Louis will have the climate of Dallas, and half the world will be in perpetual war over dwindling food and livable land.
—Max Kennerly","[""2050"", ""150"", ""million"", ""people"", ""displaced"", ""flooding""]","[""B-time"", ""B-fig"", ""I-fig"", ""B-unit"", ""B-term"", ""B-trig""]",FALSE,1,0,displaced,people,150 million,,,['flood'],"['peopl', 'displac']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Fri Aug 28 00:57:00 +0000 2020,1.30E+18,1.30E+18,"Extreme climate-related events displaced 17 million people in 2018. 

The number is expected to rise to 200 million by 2050.","[""climate"", ""events"", ""displaced"", ""17"", ""million"", ""people"", ""2018""]","[""B-trig"", ""I-trig"", ""B-term"", ""B-fig"", ""I-fig"", ""B-unit"", ""B-time""]",FALSE,1,0,displaced,people,7 million,,,[],"['displac', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Thu Aug 27 22:37:35 +0000 2020,1.30E+18,1.30E+18,NRDC senior program advocate Sasha Forbes explains what it means to be displaced by climate change and why cities must invest in long-term housing affordability—and a self-sustaining future—for their low-income communities and communities of color. https://t.co/M2fIILyJP1,,,FALSE,1,1,,,,,,[],"['displac', 'hous']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Thu Aug 27 20:37:48 +0000 2020,1.30E+18,1.30E+18,"Our first conversation will feature H.E. Anote Tong, former President of the Pacific island nation of Kiribati. As President, he was forced to confront a bleak future - the growing risk that his citizens would be displaced by climate change. Register: https://t.co/mSZ581UcXM",,,FALSE,1,1,,,,,,[],"['forc', 'citizen', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
